Country Name|Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,-2.60,-2.30,-2.00,-1.70,-1.40,-1.10,0.10,0.01,0.02,0.02,0.03,0.17,0.21,0.07,0.11,0.11,8.45,0.87,2.79,3.09,3.39,3.69,3.99,4.29
Albania,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Angola,0.13,0.16,0.24,0.19,0.14,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.14,0.14,0.15,0.15
Argentina,0.12,0.20,15.50,17.95,15.31,15.23,14.25,16.64,22.99,18.29,20.78,19.30,17.99,13.08,14.00,9.76,7.06,5.56,6.30,16.51,12.30,16.97,16.41,14.56
Australia,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azerbaijan,-0.02,-0.01,-0.01,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.06,0.06,0.04,0.03,0.03,0.01,0.04
Bahamas  The,1.52,1.63,1.64,1.43,1.55,1.57,1.17,1.17,1.15,1.13,1.44,1.10,1.29,1.28,0.87,0.63,0.77,0.51,0.99,0.59,2.86,5.95,8.22,3.02
Bangladesh,0.01,0.00,0.00,0.02,0.02,0.02,0.02,0.00,0.03,0.02,0.02,0.00,0.07,0.03,0.00,0.00,0.02,0.01,0.02,0.05,0.03,0.00,0.02,0.02
Barbados,0.14,0.12,0.09,0.06,0.04,0.01,-0.01,-0.04,-0.06,-0.09,-0.11,-0.14,-0.16,-0.19,-0.21,-0.24,-0.26,-0.29,-0.31,-0.34,-0.36,-0.39,-0.42,-0.44
Belarus,10.10,10.28,10.46,3.87,3.14,3.74,3.44,19.17,24.73,21.30,5.95,15.98,13.69,10.63,6.69,23.48,18.40,16.22,21.77,16.96,13.23,10.83,3.06,5.85
Bhutan,0.48,0.69,0.51,0.03,0.02,0.03,0.01,0.00,0.00,-0.22,-0.30,-0.38,-0.47,-0.55,-0.63,-0.71,-0.80,-0.88,-0.96,-1.04,-1.13,-1.21,-1.29,-1.37
